id,start,end
20190316,2019-03-16,2019-03-23
20190330,2019-03-30,2019-04-06
20190714,2019-07-14,2019-07-21
20190715,2019-07-15,2019-07-22
20190716,2019-07-16,2019-07-23
20190717,2019-07-17,2019-07-24
20190726,2019-07-26,2019-08-02
20191030,2019-10-30,2019-11-06
20200307,2020-03-07,2020-03-14
20200331,2020-03-31,2020-04-07
20200403,2020-04-03,2020-04-10
20200602,2020-06-02,2020-06-09
20200819,2020-08-19,2020-08-26
20201011,2020-10-11,2020-10-18
20210410,2021-04-10,2021-04-17
20210417,2021-04-17,2021-04-24
20210825,2021-08-25,2021-09-01
20210917,2021-09-17,2021-09-24
20210920,2021-09-20,2021-09-27
20220317,2022-03-17,2022-03-24
20220410,2022-04-10,2022-04-17
20220417,2022-04-17,2022-04-24
20220608,2022-06-08,2022-06-15
20220609,2022-06-09,2022-06-16
20230329,2023-03-29,2023-04-05
20230402,2023-04-02,2023-04-09
